Hierarchy;Name (location);Samples;Calls;Time/Call;% Time
+-;Summary;105;;;100.0
  +-;filters.c;39;;;37.142857
  | +-;derPassFilter;0;2700000;0ns;0.0
  | +-;highPassFilter;0;2700000;0ns;0.0
  | +-;lowPassFilter;2;2700000;7ns;1.9047619
  | | +-;lowPassFilter (filters.c:3);2;;;1.9047619
  | |   +-;0x4007c4;1;;;0.95238096
  | |   +-;0x4007f0;1;;;0.95238096
  | +-;mwiPassFilter;37;2700000;137ns;35.238094
  | | +-;mwiPassFilter (filters.c:24);11;;;10.476191
  | | | +-;0x400908;4;;;3.8095238
  | | | +-;0x40093c;7;;;6.6666665
  | | +-;mwiPassFilter (filters.c:25);26;;;24.761906
  | |   +-;0x400914;1;;;0.95238096
  | |   +-;0x400918;4;;;3.8095238
  | |   +-;0x40091c;4;;;3.8095238
  | |   +-;0x400924;4;;;3.8095238
  | |   +-;0x400928;6;;;5.714286
  | |   +-;0x40092c;3;;;2.857143
  | |   +-;0x400934;4;;;3.8095238
  | +-;sqrPassFilter;0;2700000;0ns;0.0
  +-;main.c;65;;;61.904762
  | +-;main;2;0;;1.9047619
  | | +-;main (main.c:24);1;;;0.95238096
  | | | +-;0x4009a4;1;;;0.95238096
  | | +-;main (main.c:37);1;;;0.95238096
  | |   +-;0x400a28;1;;;0.95238096
  | +-;shiftAll;1;2700000;3ns;0.95238096
  | | +-;shiftAll (main.c:53);1;;;0.95238096
  | |   +-;0x400ac4;1;;;0.95238096
  | +-;shiftRight;62;13500000;45ns;59.04762
  |   +-;shiftRight (main.c:45);2;;;1.9047619
  |   | +-;0x400a5c;1;;;0.95238096
  |   | +-;0x400a6c;1;;;0.95238096
  |   +-;shiftRight (main.c:46);17;;;16.190475
  |   | +-;0x400a74;1;;;0.95238096
  |   | +-;0x400aa4;9;;;8.571428
  |   | +-;0x400aa8;1;;;0.95238096
  |   | +-;0x400aac;6;;;5.714286
  |   +-;shiftRight (main.c:47);43;;;40.95238
  |     +-;0x400a78;10;;;9.523809
  |     +-;0x400a88;5;;;4.7619047
  |     +-;0x400a8c;1;;;0.95238096
  |     +-;0x400a90;3;;;2.857143
  |     +-;0x400a94;6;;;5.714286
  |     +-;0x400a9c;1;;;0.95238096
  |     +-;0x400aa0;17;;;16.190475
  +-;peaksearch.c;1;;;0.95238096
  | +-;addMissCount;0;33697;0ns;0.0
  | +-;addToPeaks;0;38318;0ns;0.0
  | +-;addToRPeak;0;4335;0ns;0.0
  | +-;calcRR;0;38011;0ns;0.0
  | +-;findAVG1;0;4335;0ns;0.0
  | +-;findAVG2;0;4314;0ns;0.0
  | +-;findNPKF;0;307;0ns;0.0
  | +-;findPeak;1;2700000;3ns;0.95238096
  | | +-;findPeak (peaksearch.c:32);1;;;0.95238096
  | |   +-;0x400b1c;1;;;0.95238096
  | +-;findRRHigh;0;4314;0ns;0.0
  | +-;findRRLow;0;4314;0ns;0.0
  | +-;findRRMiss;0;4314;0ns;0.0
  | +-;findSPKF;0;4314;0ns;0.0
  | +-;findThreshold1;0;4642;0ns;0.0
  | +-;findThreshold2;0;4642;0ns;0.0
  | +-;searchBack;0;21;0ns;0.0
  | +-;shiftBothRecent;0;4314;0ns;0.0
  | +-;shiftRecent;0;21;0ns;0.0
  +-;sensor.c;0;;;0.0
    +-;getFlag;0;2700001;0ns;0.0
    +-;getNextData;0;2700001;0ns;0.0
